game_date,player_name,events,hc_x,hc_y,
7/1/08,Joey Votto,single,126.51,99.4,0.462972667
7/8/08,Joey Votto,single,120.48,94.38,0.462856808
7/3/08,Joey Votto,single,126.51,96.39,0.461384494
9/4/08,Joey Votto,single,167.67,113.45,0.46106448
9/27/08,Joey Votto,field_out,62.25,94.38,0.458059117
8/8/08,Joey Votto,field_out,131.53,180.72,0.453670054
5/11/08,Joey Votto,field_out,147.59,164.66,0.446958673
4/28/08,Joey Votto,single,91.37,110.44,0.441390226
6/7/08,Joey Votto,field_out,119.48,71.29,0.43949381
6/4/08,Joey Votto,field_out,128.51,77.31,0.437203705
6/19/08,Joey Votto,field_error,140.56,104.42,0.433879019
9/5/08,Joey Votto,double,158.63,58.23,0.432618234
6/3/08,Joey Votto,single,139.56,95.38,0.428892116
5/4/08,Joey Votto,single,142.57,87.35,0.427306971
6/6/08,Joey Votto,field_out,106.43,166.67,0.425937586
5/6/08,Joey Votto,field_out,74.3,73.29,0.424101694
8/29/08,Joey Votto,single,125.5,98.39,0.422710353
7/26/08,Joey Votto,field_out,103.41,60.24,0.41808985
7/22/08,Joey Votto,single,81.33,113.45,0.41736495
8/7/08,Joey Votto,field_out,82.33,99.4,0.416626286
6/17/08,Joey Votto,single,88.35,100.4,0.41531727
6/20/08,Joey Votto,home_run,210.84,45.18,0.411799213
7/30/08,Joey Votto,single,143.57,80.32,0.407524176
4/17/08,Joey Votto,field_out,67.27,99.4,0.403291792
4/5/08,Joey Votto,grounded_into_double_play,115.46,158.63,0.401950511
8/8/08,Joey Votto,single,178.71,115.46,0.399186489
6/18/08,Joey Votto,single,73.29,127.51,0.397992126
4/8/08,Joey Votto,single,138.55,157.63,0.397242409
9/23/08,Joey Votto,single,199.8,86.35,0.393516361
4/15/08,Joey Votto,home_run,97.39,7.03,0.391195407
9/13/08,Joey Votto,field_out,137.55,155.62,0.388027481
4/18/08,Joey Votto,field_out,143.57,153.61,0.382900616
7/3/08,Joey Votto,field_out,149.6,144.58,0.381838725
7/2/08,Joey Votto,field_out,93.37,151.61,0.37942754
9/7/08,Joey Votto,field_out,143.57,153.61,0.379007947
9/21/08,Joey Votto,field_out,52.21,114.46,0.378985835
6/14/08,Joey Votto,field_out,150.6,51.2,0.378170583
5/14/08,Joey Votto,field_out,112.45,87.35,0.366670549
6/2/08,Joey Votto,field_out,170.68,68.27,0.364809926
4/16/08,Joey Votto,double,216.87,108.43,0.354728365
7/3/08,Joey Votto,field_out,90.36,139.56,0.350110062
6/20/08,Joey Votto,double,194.78,84.34,0.349743807
7/12/08,Joey Votto,field_out,138.55,150.6,0.347860332
9/28/08,Joey Votto,single,139.56,78.31,0.34704976
4/27/08,Joey Votto,field_out,59.24,101.41,0.342881539
6/24/08,Joey Votto,field_out,144.58,166.67,0.340244623
7/30/08,Joey Votto,field_out,143.57,154.62,0.339919079
9/27/08,Joey Votto,field_out,99.4,35.14,0.33864653
6/2/08,Joey Votto,field_out,133.53,143.57,0.333143536
6/28/08,Joey Votto,field_out,146.59,174.7,0.333065392
4/19/08,Joey Votto,home_run,211.85,67.27,0.333033515
7/17/08,Joey Votto,field_out,110.44,164.66,0.330968805
7/4/08,Joey Votto,field_out,81.33,98.39,0.325313656
9/9/08,Joey Votto,double,185.74,51.2,0.324335147
9/16/08,Joey Votto,field_out,153.61,165.66,0.322709621
6/6/08,Joey Votto,single,178.71,101.41,0.321837424
8/7/08,Joey Votto,single,139.56,102.41,0.313744854
8/28/08,Joey Votto,field_out,60.24,79.32,0.308899684
5/10/08,Joey Votto,field_out,115.46,179.72,0.305329146
7/5/08,Joey Votto,single,145.58,85.34,0.304865061
6/5/08,Joey Votto,field_out,113.45,172.69,0.303978078
6/30/08,Joey Votto,field_out,139.56,152.61,0.302990307
4/26/08,Joey Votto,single,78.31,116.47,0.300196603
5/21/08,Joey Votto,force_out,136.55,153.61,0.299311064
8/27/08,Joey Votto,field_out,123.49,145.58,0.298828347
8/4/08,Joey Votto,single,180.72,120.48,0.295360175
6/19/08,Joey Votto,field_out,70.28,111.45,0.294595428
7/12/08,Joey Votto,field_out,72.29,117.47,0.293490795
6/30/08,Joey Votto,field_out,150.6,163.65,0.292406859
4/30/08,Joey Votto,double,42.17,108.43,0.287748564
6/9/08,Joey Votto,field_out,162.65,25.1,0.285493948
8/22/08,Joey Votto,double,135.54,27.11,0.284475975
8/21/08,Joey Votto,home_run,212.85,5.02,0.283355228
9/25/08,Joey Votto,field_out,151.61,165.66,0.27659545
9/19/08,Joey Votto,home_run,171.69,32.13,0.274021383
8/23/08,Joey Votto,single,78.31,119.48,0.272553144
8/2/08,Joey Votto,field_out,71.29,109.44,0.265643829
4/15/08,Joey Votto,field_out,42.17,101.41,0.265380296
7/4/08,Joey Votto,field_out,85.34,114.46,0.264936261
9/24/08,Joey Votto,single,164.66,96.39,0.261375607
4/27/08,Joey Votto,field_out,74.3,98.39,0.254419751
4/26/08,Joey Votto,field_out,147.59,164.66,0.252733375
9/22/08,Joey Votto,field_out,105.42,191.77,0.247249871
9/28/08,Joey Votto,sac_fly,74.3,92.37,0.236005855
9/23/08,Joey Votto,single,165.66,84.34,0.230805735
7/11/08,Joey Votto,single,75.3,47.19,0.229154408
5/25/08,Joey Votto,single,145.58,86.35,0.226312958
6/9/08,Joey Votto,single,120.48,91.37,0.224065837
8/29/08,Joey Votto,field_out,109.44,40.16,0.222528796
4/2/08,Joey Votto,field_out,140.56,157.63,0.216157288
7/20/08,Joey Votto,field_out,112.45,155.62,0.215811903
4/19/08,Joey Votto,field_out,89.36,92.37,0.211142884
5/10/08,Joey Votto,field_out,75.3,127.51,0.21102747
5/20/08,Joey Votto,field_out,146.59,168.67,0.200713142
7/1/08,Joey Votto,field_out,126.51,189.76,0.200107645
8/30/08,Joey Votto,field_out,139.56,170.68,0.196554092
7/28/08,Joey Votto,field_out,145.58,157.63,0.19527434
7/12/08,Joey Votto,field_out,73.29,84.34,0.187453998
7/19/08,Joey Votto,field_out,185.74,93.37,0.186912951
4/4/08,Joey Votto,field_out,74.3,139.56,0.185606583
9/20/08,Joey Votto,single,167.67,96.39,0.181867311
8/6/08,Joey Votto,field_out,142.57,151.61,0.180479651
7/22/08,Joey Votto,field_out,111.45,156.63,0.178801521
4/17/08,Joey Votto,home_run,197.79,36.14,0.178367624
9/12/08,Joey Votto,field_out,108.43,150.6,0.176499297
5/29/08,Joey Votto,field_out,142.57,150.6,0.176020832
9/21/08,Joey Votto,grounded_into_double_play,121.49,154.62,0.173626578
8/6/08,Joey Votto,single,162.65,114.46,0.171955241
4/12/08,Joey Votto,field_out,161.65,44.18,0.170885261
9/28/08,Joey Votto,home_run,209.84,50.2,0.170680372
4/23/08,Joey Votto,field_error,149.6,144.58,0.16588335
7/10/08,Joey Votto,single,177.71,117.47,0.165329641
5/28/08,Joey Votto,double,142.57,92.37,0.164696401
4/13/08,Joey Votto,field_out,57.23,113.45,0.1645481
5/19/08,Joey Votto,field_out,77.31,96.39,0.162222656
5/13/08,Joey Votto,home_run,44.18,45.18,0.149612036
8/4/08,Joey Votto,field_out,146.59,165.66,0.146245623
9/20/08,Joey Votto,field_out,138.55,154.62,0.145767647
5/24/08,Joey Votto,field_out,124.5,178.71,0.141988471
6/12/08,Joey Votto,field_out,165.66,74.3,0.138942462
4/28/08,Joey Votto,field_out,88.35,95.38,0.138889269
4/23/08,Joey Votto,field_out,120.48,174.7,0.137345121
9/14/08,Joey Votto,field_out,152.61,157.63,0.137153405
7/23/08,Joey Votto,field_out,120.48,180.72,0.136941901
5/25/08,Joey Votto,double,80.32,49.2,0.13225715
8/20/08,Joey Votto,field_out,150.6,154.62,0.130472062
4/2/08,Joey Votto,single,130.52,100.4,0.12893004
6/28/08,Joey Votto,double,42.17,103.41,0.120089601
6/12/08,Joey Votto,field_out,211.85,104.42,0.116346529
9/24/08,Joey Votto,double,48.19,110.44,0.113372166
5/24/08,Joey Votto,home_run,128.51,16.06,0.113329442
7/6/08,Joey Votto,field_out,118.47,149.6,0.112379279
9/9/08,Joey Votto,field_out,152.61,164.66,0.107095288
7/25/08,Joey Votto,field_out,82.33,112.45,0.103211248
5/12/08,Joey Votto,force_out,116.47,152.61,0.098728729
5/6/08,Joey Votto,field_out,66.27,63.25,0.095993115
4/20/08,Joey Votto,field_out,131.53,180.72,0.094552766
4/11/08,Joey Votto,field_out,150.6,160.64,0.092315805
8/26/08,Joey Votto,field_out,141.57,154.62,0.088263516
6/10/08,Joey Votto,field_out,92.37,48.19,0.086838044
8/26/08,Joey Votto,single,170.68,126.51,0.08396177
6/18/08,Joey Votto,field_out,139.56,152.61,0.082687943
5/22/08,Joey Votto,field_out,140.56,154.62,0.081365242
5/17/08,Joey Votto,field_out,93.37,85.34,0.075880284
6/10/08,Joey Votto,home_run,134.54,18.07,0.075867631
7/25/08,Joey Votto,field_out,136.55,150.6,0.068729025
7/21/08,Joey Votto,field_out,106.43,162.65,0.066162313
8/1/08,Joey Votto,field_out,143.57,153.61,0.06552121
5/24/08,Joey Votto,force_out,108.43,150.6,0.065307516
9/18/08,Joey Votto,double,64.26,139.56,0.058436365
5/21/08,Joey Votto,field_out,139.56,88.35,0.058254994
5/16/08,Joey Votto,field_out,70.28,96.39,0.057937433
9/2/08,Joey Votto,field_out,140.56,148.59,0.054903784
4/20/08,Joey Votto,field_out,119.48,90.36,0.052220978
4/2/08,Joey Votto,field_out,72.29,152.61,0.04929788
8/22/08,Joey Votto,single,91.37,127.51,0.041961028
8/26/08,Joey Votto,field_out,135.54,37.15,0.040714417
5/4/08,Joey Votto,field_out,149.6,146.59,0.039840387
7/28/08,Joey Votto,field_out,57.23,91.37,0.038498148
9/13/08,Joey Votto,double,81.33,47.19,0.036538668
9/6/08,Joey Votto,field_out,115.46,155.62,0.036099705
9/4/08,Joey Votto,field_out,124.5,161.65,0.034549873
6/13/08,Joey Votto,field_out,146.59,150.6,0.034082166
7/20/08,Joey Votto,field_out,74.3,115.46,0.033292744
8/7/08,Joey Votto,single,126.51,100.4,0.032406534
6/6/08,Joey Votto,single,72.29,108.43,0.028763151
6/21/08,Joey Votto,field_out,108.43,169.68,0.027059839
9/7/08,Joey Votto,field_out,143.57,154.62,0.0252404
5/31/08,Joey Votto,single,185.74,67.27,0.023491213
8/31/08,Joey Votto,single,71.29,116.47,0.015686732
8/23/08,Joey Votto,field_out,24.1,91.37,0.014748807
7/18/08,Joey Votto,field_out,60.24,124.5,0.013921228
6/19/08,Joey Votto,single,127.51,93.37,0.0132857
9/26/08,Joey Votto,home_run,196.79,35.14,0.012778618
6/18/08,Joey Votto,field_out,143.57,169.68,0.005919628
8/7/08,Joey Votto,field_out,73.29,128.51,0.004498948
6/15/08,Joey Votto,single,119.48,103.41,0.003015179
6/25/08,Joey Votto,field_out,194.78,105.42,0.001985535
